dt,comptime,Phe_Bid,Phe_Ask,Phe_bid_chng,Phe_ask_chng,phe_sig,Phediff,btc_price
02/19/2023 18:43:46,1676850226.0,160515000.0,211313000.0,-0.2,0.55,SELL,24.04,24372.2
02/19/2023 18:43:57,1676850237.0,81813000.0,193538000.0,-0.96,-0.09,SELL,57.73,24356.0
02/19/2023 18:43:59,1676850239.0,169625000.0,276181000.0,0.52,0.3,SELL,38.58,24356.0
02/19/2023 18:44:10,1676850250.0,70364000.0,218997000.0,-1.41,-0.26,SELL,67.87,24351.3
02/19/2023 18:44:12,1676850252.0,294658000.0,29648000.0,0.76,-6.39,BUY,89.94,24351.5
02/19/2023 18:44:45,1676850285.0,149356000.0,370674000.0,-0.97,0.92,SELL,59.71,24361.0
02/19/2023 18:44:57,1676850297.0,93469000.0,264177000.0,-0.6,-0.4,SELL,64.62,24361.0
02/19/2023 18:44:58,1676850298.0,99799000.0,221925000.0,0.06,-0.19,SELL,55.03,24361.0
02/19/2023 18:45:10,1676850310.0,202019000.0,259100000.0,0.51,0.14,SELL,22.03,24361.0
02/19/2023 18:45:21,1676850321.0,93416000.0,242819000.0,-1.16,-0.07,SELL,61.53,24366.5
02/19/2023 18:45:25,1676850325.0,110588000.0,291430000.0,0.16,0.17,SELL,62.05,24369.4
02/19/2023 18:45:36,1676850336.0,167439000.0,245427000.0,0.34,-0.19,SELL,31.78,24369.4
02/19/2023 18:45:39,1676850339.0,196505000.0,213374000.0,0.15,-0.15,SELL,7.91,24369.4
02/19/2023 18:45:50,1676850350.0,95595000.0,278811000.0,-1.06,0.23,SELL,65.71,24376.8
02/19/2023 18:45:52,1676850352.0,96541000.0,278773000.0,0.01,-0.0,SELL,65.37,24376.8
02/19/2023 18:45:55,1676850355.0,96520000.0,277836000.0,-0.0,-0.0,SELL,65.26,24376.8
02/19/2023 18:46:02,1676850362.0,143248000.0,206513000.0,0.33,-0.35,SELL,30.63,24368.2
02/19/2023 18:46:04,1676850364.0,196767000.0,206516000.0,0.27,0.0,SELL,4.72,24368.2
