symbol,datetime,side,price,amount,usd,epoch,buy_amount,sell_amount
BTC/USD:USD,2022-12-05 16:25:25,buy,17023.1,100.0,1701.97,1670257525.0,1701.97,0.0
BTC/USD:USD,2022-12-05 16:25:25,sell,17008.0,86.0,1463.69,1670257525.0,0.0,1463.69
BTC/USD:USD,2022-12-05 16:25:26,sell,17008.0,163.0,2774.21,1670257526.0,0.0,2774.21
BTC/USD:USD,2022-12-05 16:25:26,sell,17008.0,74.0,1259.46,1670257526.0,0.0,1259.46
BTC/USD:USD,2022-12-05 16:25:26,sell,17007.9,63.0,1072.24,1670257526.0,0.0,1072.24
BTC/USD:USD,2022-12-05 16:25:26,sell,17003.0,1349.0,22959.58,1670257526.0,0.0,22959.58
BTC/USD:USD,2022-12-05 16:25:26,sell,17001.2,313.0,5327.17,1670257526.0,0.0,5327.17
BTC/USD:USD,2022-12-05 16:25:26,sell,17001.0,168.0,2859.31,1670257526.0,0.0,2859.31
BTC/USD:USD,2022-12-05 16:25:26,sell,17008.1,173.0,2944.41,1670257526.0,0.0,2944.41
BTC/USD:USD,2022-12-05 16:25:27,sell,17001.3,100.0,1701.97,1670257527.0,0.0,1701.97
BTC/USD:USD,2022-12-05 16:25:27,sell,17001.0,163.0,2774.21,1670257527.0,0.0,2774.21
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,722.0,12288.22,1670257527.0,0.0,12288.22
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,301.0,5122.93,1670257527.0,0.0,5122.93
BTC/USD:USD,2022-12-05 16:25:27,sell,17003.5,163.0,2774.21,1670257527.0,0.0,2774.21
BTC/USD:USD,2022-12-05 16:25:27,sell,17003.5,828.0,14092.31,1670257527.0,0.0,14092.31
BTC/USD:USD,2022-12-05 16:25:27,sell,17003.5,259.0,4408.1,1670257527.0,0.0,4408.1
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,192.0,3267.78,1670257527.0,0.0,3267.78
BTC/USD:USD,2022-12-05 16:25:27,buy,17004.5,203.0,3455.0,1670257527.0,3455.0,0.0
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,135.0,2297.66,1670257527.0,0.0,2297.66
